iter	RMSE
350	48.11493118
351	47.99582646
352	47.98565866
353	47.92463929
354	47.8766459
355	47.78038897
356	47.72746845
357	47.6600728
358	47.65280827
359	47.5724624
360	47.48221333
361	47.37870203
362	47.29424538
363	47.27366873
364	47.24704619
365	47.24106486
366	47.23574055
367	47.1528831
368	47.08252168
369	46.98470045
370	46.97199504
371	46.94366714
372	46.8960723
373	46.85994418
374	46.7642697
375	46.65868968
376	46.59823822
377	46.52344552
378	46.42451299
379	46.37741052
380	46.3140023
381	46.14222445
382	46.03569493
383	45.92836169
384	45.79730713
385	45.79009389
386	45.76084779
387	45.72272237
388	45.64634755
389	45.52105218
390	45.51115729
391	45.40425953
392	45.35746984
393	45.17847868
394	45.06557183
395	44.92453438
396	44.83062934
397	44.76834576
398	44.71775623
399	44.65960423
400	44.53804737
401	44.46303256
402	44.36803359
403	44.22332931
404	44.21717336
405	44.21281107
406	44.15682101
407	44.10554057
408	44.00266967
409	43.9936304
410	43.91708996
411	43.824534
412	43.72154886
413	43.57371856
414	43.53925913
415	43.46673854
416	43.41406599
417	43.29157001
418	43.27961358
419	43.14918387
420	43.05271768
421	42.99402415
422	42.88667477
423	42.78330291
424	42.75953234
425	42.69076096
426	42.68525029
427	42.60611119
428	42.56908326
429	42.49995365
430	42.42684677
431	42.30830355
432	42.20791508
433	42.07403659
434	41.93955797
435	41.93005889
436	41.8165551
437	41.70362088
438	41.53255131
439	41.47217661
440	41.37946312
441	41.27630668
442	41.2349899
443	41.13913102
444	41.09580478
445	41.05646507
446	40.99801182
447	40.95632073
448	40.8967117
449	40.79509353
450	40.77364772
451	40.7671916
452	40.66692668
453	40.57097476
454	40.50543455
455	40.42479694
456	40.32160306
457	40.25225738
458	40.24537104
459	40.17205273
460	40.1031067
461	40.05998595
462	39.99347972
463	39.95890384
464	39.95234884
465	39.9084863
466	39.88187486
467	39.84986725
468	39.79583612
469	39.72672924
470	39.67967136
471	39.6431248
472	39.56534029
473	39.55996391
474	39.4766285
475	39.4551214
476	39.38909087
477	39.33654883
478	39.27414899
479	39.23897614
480	39.12480894
481	39.01338221
482	38.97850669
483	38.87269228
484	38.82632988
485	38.81472643
486	38.73214829
487	38.69537957
488	38.63647537
489	38.59702822
490	38.55229259
491	38.54590542
492	38.48629477
493	38.42489385
494	38.33577931
495	38.22327514
496	38.14029092
497	38.08004685
498	37.98112469
499	37.87832415
